N°,Sector principal,Subsectores,Fuente,Página web,Descripción,Organización,SubOrganización,Tipo principal,Tipos secundarios
14,Desarrollo,"Diversity, Equity, and Inclusion",Rockefeller Philanthropy Advisors,https://www.rockpa.org/,"Rockefeller Philanthropy Advisors, our mission is to accelerate philanthropy in pursuit of a just world by providing deep global expertise to make philanthropy more thoughtful, equitable and effective.",Organización sin fines de lucro (ONG),Non-profit organization,Academia,Careers
15,Ambiental,Conservation of nature and of biodiversity,Fondation Segré,https://www.fondationsegre.org/,"Fondation Segré was established in 1996, initially with a very broad scope: to promote humanitarian, scientific, educational, artistic and environmental projects.",Organización caritativa sin fines de lucro,Charity,Subvención,Grants
16,Ambiental,"We expand protected areas, support ecological research, and empower the public to become stewards and advocates for the natural world.",March Conservation Fund,https://marchconservationfund.org/,"Our work is focused on building the capacity of nonprofit operations, both domestically and abroad, to conserve populations of threatened birds and associated biodiversity.",Privada,private foundation,Subvención,Grants
17,Ambiental,"protecting and restoring habitats, saving species from extinction and developing sustainable livelihoods",Fauna & Flora,https://www.fauna-flora.org/,"Fauna & Flora is an international wildlife conservation charity. We work closely with conservation partners in 48 countries to save nature, together.",Privada,company limited by guarantee,Academia,Careers
18,Ambiental,"Water Conservation and Stewardship, Water Education and Habitat Conservation and Stewardship.",The FairWays Foundation,https://thefairwaysfoundation.com/,"The FairWays Foundation recognizes water as Earth’s most vital resource—essential for life, biological processes, food production, and industry. Despite covering most of the planet, only a small percentage is accessible freshwater. ",Organización sin fines de lucro (ONG),not-for-profit organization,Subvención,Grants
19,Ambiental,"science, conservation, storytelling, education, and technology",National Geographic Society,https://www.nationalgeographic.org/society/,"We fund individuals working on projects in science, conservation, storytelling, education, and technology that align with one or more of our focus areas.

And we don’t just support their incredible work. We actively seek to help them network, connect, and learn with National Geographic and each other, empower them with cutting-edge tools, technology, and training, and further their impact and recognition through our storytelling.",Organización sin fines de lucro (ONG),nonprofit organization,Academia,"Careers, Funding"
20,Cambio climático,"préstamos, donaciones y garantías, Abordar el cambio climático, Fortalecer el crecimiento sostenible
 ",El Grupo Banco Interamericano de Desarrollo (Grupo BID),https://www.iadb.org/es,"Desde nuestra creación en 1959, hemos trabajado para mejorar la calidad de vida de millones de personas en nuestros 26 países miembros prestatarios en América Latina y el Caribe.

Brindamos apoyo financiero y técnico a gobiernos nacionales, subnacionales y otras entidades de la región. Llevamos a cabo investigaciones de vanguardia y desarrollamos soluciones innovadoras para enfrentar los desafíos del desarrollo, tanto a nivel local como global.",Institución financiera,Organización financiera,Financiación,"préstamos, donaciones y garantías"
21,Desarrollo,"Cooperation with the private sector, Making labour migration fair and A just transition – change that leaves no one behind",The Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),https://www.giz.de/en,"The Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH works worldwide for a future worth living. Together with our partners, we create opportunities and sustainably improve people’s lives. Through our networks, we turn international agendas into action – with a global vision and local impact.",Privada,empresa público-privada con forma de sociedad de responsabilidad limitada (GmbH),Proyectos,"Projects, Careers, Funding"
22,Desarrollo,"Climate, capital, digital acceleration, economic growth, education, environment, global health",DAI,https://www.dai.com/,DAI works on the frontlines of global development. Transforming ideas into action—action into impact. We are committed to shaping a more livable world.,Privada,Private,Proyectos,Projects
23,Energía,"We develop and deploy the most advanced technologies to serve energy and industrial companies looking for more efficient, more reliable and cleaner solutions.",baker hughes company,https://www.bakerhughes.com/,We are an energy technology company.  We understand the demands on energy. What it takes to produce it. How we make use of it. Why it’s essential to reduce its impact. Where we can change to achieve a sustainable balance.,Privada,Private,Academia,Career opportunities
24,Ambiental,"Amazon, biodiversity, blended finance, food security, forest",The Global Environment Facility,https://www.thegef.org/,"The Global Environment Facility (GEF) includes several multilateral funds working together to address the planet's most pressing challenges in an integrated way. Its financing helps developing countries address complex challenges and work towards meeting international environmental goals. Over the past three decades, the GEF has provided more than $26 billion in financing, primarily as grants, and mobilized another $153 billion for country-driven priority projects. ",Cooperación internacional,Cooperación internacional/Mixta,Subvención,"Grants, Projects, Careers"
25,Ambiental,"supports and initiates projects which create new opportunities and contribute to thriving communities in tourism destinations all over the world. Connecting holidaymakers to good causes, it supports education and training opportunities for young people; drives the protection of natural habitats and the marine environment; and helps local communities to thrive sustainably and benefit from tourism",TUI Care Foundation,https://www.tuicarefoundation.com/en,The TUI Forests programme puts forests at the centre of thriving communities and destinations. The programme will plant new trees and support local people to build thriving livelihoods through community managed tree nurseries and the creation of forest-based tourism experiences.,Pública,public benefit organization,Subvención,Grants
26,Ambiental,To ensure that no species of tortoise or freshwater turtle becomes extinct and that sustainable populations of all species persist in the wild,Turtle Conservation Fund (TCF),https://turtleconservationfund.org/homepage/,The Turtle Conservation Fund (TCF) is a strategizing and funding partnership coalition of leading turtle conservation organizations and individuals focused on ensuring the long-term survival of tortoises and freshwater turtles,Privada sin fines de lucro (private nonprofit),"private, non-profit organization",Subvención,Grants
27,Ambiental,"Conservation, Food, Health","The Conservation, Food & Health Foundation",https://cfhfoundation.grantsmanagement08.com/,"The Conservation, Food and Health Foundation seeks to protect the environment, improve food production, and promote public health in Africa, Asia, the Caribbean, Latin America, and the Middle East. ",Privada sin fines de lucro (private nonprofit),"private, non-profit foundation",Subvención,Grants
28,Cambio climático,"Mitigación de las emisiones de gases de efecto invernadero, Adaptación a los impactos del cambio climático, Preservar y restaurar los sumideros de carbono y Conservación de la diversidad biológica",La Iniciativa Internacional sobre el Clima (IKI),https://www.international-climate-initiative.com/en/,la Iniciativa Internacional sobre el Clima se ha convertido en un programa central para promover la acción climática y la conservación de la biodiversidad.,Pública,Público,Subvención,Grants
29,Energía,"Energy transition, closign the gender gap, energy data analytics, electricity access. Renewable energy",The World Bank’s Energy Sector Management Assistance Program (ESMAP),https://www.esmap.org/ESMAP_At_A_Glance,"ESMAP's analytical and advisory services are seamlessly integrated with the World Bank's country financing and policy dialogue in the energy sector. Through the World Bank Group (WBG), ESMAP strives to expedite the energy transition necessary to achieve Sustainable Development Goal 7 (SDG7), which aims to ensure access to affordable, reliable, sustainable, and modern energy for all.",Pública,Public,Academia,global knowledge and technical assistance program
30,Cambio climático,The Global Shield against Climate Risks aims to support countries that are most vulnerable to climate risks.,The Global Shield against Climate Risks,https://www.globalshield.org/,The aim of the Global Shield is to provide and facilitate more and better pre-arranged protection against climate and disaster related risks for vulnerable people and countries.,Mixta,Mix,Financiación,finance instruments
31,Energía,"Facilitate reliable and affordable access to energy, Build up local financial ecosystems around clean energy investment, Support the Sustainable Development Goals (SDGs) and the Paris Agreement, Increase climate resilience through clean energy solutions, Catalyse social and equitable development through clean energy",The Renewable Energy and Energy Efficiency Partnership (REEEP),https://reeep.org/,REEEP has been advancing the deployment of reliable and affordable clean energy solutions in low- and middle-income countries for the benefit of last-mile customers and the most vulnerable populations.,Mixta,Mix,Financiación,finance instruments
32,Ambiental,"Security and safety, scientific excellence, environment, energy access",The U.S. Department of Energy’s Solar Energy Technologies Office (SETO),https://www.energy.gov/eere/solar/solar-energy-technologies-office,"The U.S. Department of Energy (DOE) has one of the richest and most diverse histories in the federal government. Although only in existence since 1977, the Department traces its lineage to the Manhattan Project effort to develop the atomic bomb during World War II and to the various energy-related programs that previously had been dispersed throughout various federal agencies. ",Pública,Public,Academia,Careers
33,Cambio climático,"Access funding
Simplified Approval Process
Project Preparation Facility
Project-specific Assessment Approach",The Green Climate Fund,https://www.greenclimate.fund/#,"GCF is the world’s climate fund for developing countries. We mobilise and deliver capital at scale, strengthen institutions and support transformative change, and bring together partnership networks to deliver impact.",Pública,public international organization,Financiación,"Funding, careers"
34,Créditos de carbono,certified emission reduction (CER ) credits (carbon credits),The Clean Development Mechanism (CDM),https://unfccc.int/process-and-meetings/the-kyoto-protocol/mechanisms-under-the-kyoto-protocol/the-clean-development-mechanism,"The CDM allows emission-reduction projects in developing countries to earn certified emission reduction ( CER ) credits, each equivalent to one tonne of CO2 . These CER s can be traded and sold, and used by industrialized countries to a meet a part of their emission reduction targets under the Kyoto Protocol.",Pública,"public, intergovernmental framework",Financiación,Finance - carbon credits
35,Energía,Supporting countries worldwide in their transition to a sustainable energy future,The International Renewable Energy Agency (IRENA) ,https://www.irena.org/,"The International Renewable Energy Agency (IRENA) is a lead global intergovernmental agency for energy transformation that serves as the principal platform for international cooperation, supports countries in their energy transitions, and provides state of the art data and analyses on technology, innovation, policy, finance and investment.",Pública,"public, intergovernmental organization",Cooperación internacional,Cooperación internacional
36,Ambiental,"Naturaleza y biodiversidad, Economía circular y calidad de vida, Mitigación y adaptación al cambio climático, Transición a la energía limpia",Programa LIFE,https://cinea.ec.europa.eu/programmes/life_en,"Programa LIFE
Instrumento de financiación de la UE para el medio ambiente y la acción por el clima",Organización internacional,Unión Europea (UE),Financiación,instrumento financiero
37,Desarrollo,"Social Sciences and Humanities, Physical Sciences and Engineering, Life Sciences",European Research Council (ERC),https://erc.europa.eu/homepage,"El programa del Consejo Europeo de Investigación proporciona financiación atractiva de largo plazo para apoyar a excelentes investigadores e investigadoras y sus equipos con el objetivo de perseguir innovaciones de alto riesgo y de alto beneficio en cualquier campo de investigación, siendo la excelencia científica el único criterio de evaluación.",Pública,Public,Academia,Careers - Academia
38,Desarrollo,"academia, industry, and public outreach",The Marie Skłodowska-Curie Actions,https://marie-sklodowska-curie-actions.ec.europa.eu/,"The Marie Skłodowska-Curie Actions fund excellent research and innovation and equip researchers at all stages of their career with new knowledge and skills, through mobility across borders and exposure to different sectors and disciplines.",Pública,Public,Financiación,"Funding opportunities, Jobs for researchers"
39,Energía,"energy, environment, climate action, and transport.","The European Climate, Infrastructure and Environment Executive Agency (CINEA)",https://cinea.ec.europa.eu/index_en,Supporting stakeholders in delivering the European Green Deal through high-quality programme management that helps to implement projects contributing to decarbonisation and sustainable growth.,Pública,public agency,Subvención,Grants
40,Desarrollo,"CEF is a key EU funding instrument to promote growth, jobs and competitiveness through targeted infrastructure investment at European level.",The Connecting Europe Facility (CEF),https://cinea.ec.europa.eu/programmes/connecting-europe-facility_en,The Connecting Europe Facility (CEF) for Energy is the EU funding programme to implement the Trans-European Networks for Energy policy. It aims at supporting investments in building new cross-border energy infrastructure in Europe or rehabilitating and upgrading the existing one.,Pública,Public,Financiación,funding instrumen
41,Cambio climático,"It tackles climate change, helps to achieve the UN’s Sustainable Development Goals and boosts the EU’s competitiveness and growth.",Horizon Europe,https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe_en,"Horizon Europe is the EU’s key funding programme for research and innovation. Following the Multiannual Financial Framework Midterm Review (MTR) decision, the indicative funding amount for Horizon Europe for the period 2021-2027 is EUR 93.5 billion.",Pública,public funding programme,Financiación,Funding
42,Desarrollo,"agribusiness value chain, infrastructure and climate",Building Prospects,https://buildingprospects.fmo.nl/,"Building Prospects is the Dutch government fund for private investments in the agribusiness value chain, infrastructure and climate in developing countries.",Pública,Public,Financiación,Financing
43,Ambiental,Nature-based approaches,The Innovation Facility,https://www.innovationfacility.org/,"The Innovation Facility is a grant-making programme targeting new types of nature-based carbon projects that, due to their innovative nature, do not yet receive sufficient finance via the Voluntary Carbon Market. The Facility will provide ramp-up finance for these projects. By doing so, they are intended to become investable for the private sector. All projects funded need to focus on nature-based activities that sequester CO2 from the atmosphere, combined with strong positive biodiversity impacts.",Mixta,Mix,Subvención,Grants
44,Cambio climático,cambio climático,Global Youth Climate Action Fund (GYCAF),https://gycaf.org/,"La acción climática liderada por jóvenes es cualquier iniciativa, actividad, proyecto o programa coordinado o dirigido por un individuo joven, una organización juvenil, una organización comunitaria o una empresa comercial que esté orientada a la adaptación y mitigación del cambio climático como enfoque principal de la organización o entidad (donde el propósito de fundar esta organización fue combatir solemnemente el cambio climático) o como enfoque secundario (donde el propósito de fundar esta organización fue comprometerse a reducir su huella de carbono).",Privada,Privado,Financiación,Financing
45,Cambio climático,"climate action and global warming, environment, education, health, empowerment of women, youth involvement or well being of children",Better Living Initiatives - Global (BLI Global),https://www.bli-global.org/about-us/,"Better Living Initiatives - Global (BLI Global) is an international grassroots non profit organization focused on promoting solutions, improvements and initiatives to sustain better living conditions around the globe. Whether it is climate action and global warming, environment, education, health, empowerment of women, youth involvement or well being of children, our mission is to inspire global good. ",Organización sin fines de lucro (ONG),international grassroots non profit organization,Proyectos,Projects
46,Cambio climático,"climate, conservation and environmental health and justice",The Pisces Foundation,https://piscesfoundation.org/,"We partner with environmental leaders and organizations to strengthen the shared tools, resources, and connections that successful movements and advocates need",Privada sin fines de lucro (private nonprofit),private non-profit organization,Academia,Careers
47,Ambiental,"Environment, Child Abuse Prevention, Housing and Homelessness, International Human Rights, Issues Affecting Women, and Learning Differences",Oak Foundation,https://oakfnd.org/,"They are dedicated to supporting organisations to help people and communities thrive in just societies, where everyone is safe and has the opportunity to succeed. This also includes safeguarding our natural environment for future generations.",Privada,private foundation,Subvención,programme grants
48,Cambio climático,"Buildings, Climate change adaptation, District energy, Smart energy systems, Waste management",The Danish Climate Investment Fund (KIF),https://stateofgreen.com/en/solution-providers/the-danish-climate-investment-fund/,"The fund invests in projects, which directly or indirectly contribute to reduction of the emission of greenhouse gasses. We offer both share capital for the establishment of companies in collaboration with Danish businesses and we can co-invest in major climate projects which include Danish technology or know-how.",Mixta,Mix,Financiación,risk capital
49,Cambio climático,"Our mission is to support developing (Article 5) countries in eliminating ozone-depleting substances and greenhouse gases, bolstering climate resilience, bettering public health, and cultivating a healthier, more livable world.",The Multilateral Fund for the Implementation of the Montreal Protocol,https://www.multilateralfund.org/,"The Fund has contributed to the successful implementation of the Montreal Protocol and gone beyond, catalysing social and environmental progress on a global scale. ",Pública,public fund,Financiación,"Funding, mobilizing investments"
50,Desarrollo,"infrastructure, agriculture, and land-use management",The NDC Pipeline Accelerator Trust Fund,https://www.ndf.int/what-we-finance/projects/project-database/ndc-pipeline-accelerator-ndf-c98.html,The NDC Pipeline Accelerator Trust Fund is an IDB led climate finance facility aimed at fast tracking bankable and sustainable projects that move Latin America and the Caribbean closer to realising the targets of the 2015 Paris climate conference.,Pública,public institution,Financiación,finance facility
51,Créditos de carbono,"Conservación in situ, Restauración, Modelos de producción sostenible",Fondo Acción,https://fondoaccion.org/,"El Fondo Acción ha obtenido recursos de cooperación internacional y filantropía mediante una gestión de segundo piso que le ha permitido apoyar soluciones innovadoras y de alto valor en temas como desarrollo rural sostenible, conservación, cambio climático y protección y desarrollo de niños, niñas y adolescentes con énfasis en primera infancia. REDD+",Privada,Privado,Financiación,Mercados de carbono
52,Cambio climático,Just Transition Fund,The Just Transition Mechanism (JTM),https://commission.europa.eu/strategy-and-policy/priorities-2019-2024/european-green-deal/finance-and-green-deal/just-transition-mechanism_en,"The Just Transition Mechanism (JTM) is a key tool to ensure that the transition towards a climate-neutral economy happens in a fair way, leaving no one behind. I",Mixta,mix,Financiación,financial support
53,Cambio climático,Adaptación y  mitigación,Global Innovation Lab for Climate Finance,https://www.climatefinancelab.org/call-for-ideas/,"The Lab's structure fosters cross-sector cooperation and enables solutions to overcome investment barriers. The Lab will select and develop eight innovative ideas to drive climate finance in 2026. This cycle will focus on regional programs, designed to draw on local expertise and address the unique financial and climate challenges in target countries.",Mixta,mix,Financiación,Call for Ideas
54,Desarrollo,"Educación, la ciencia y la cultura, estrategia digital, los derechos humanos, la democracia y la igualdad","La Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura (OEI)",https://oei.int/,"La Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura (OEI) es el mayor organismo de cooperación multilateral entre países iberoamericanos de habla española y portuguesa con presencia física en 20 países.   ",Cooperación internacional,Cooperación multilateral,Financiación,Convocatoria y licitación
55,Ambiental,"Gestión comunitaria de bosques, la prevención de incendios, negocios y finanzas, y la inclusión de género y juventud",Tropenbos international,https://www.tropenbos.org/,"We work with communities, companies, and governments across these focus areas: Community Forest Management, Restoration, Agroforestry and Wildfire Prevention",Organización sin fines de lucro (ONG),non-profit,Oportunidades laborales,
56,Desarrollo,"Gobierno democrático, equidad económica, educación, libertad de expresión, género y justicia reproductiva, derechos humanos, oportunidad metropolitana, desarrollo sostenible, y finanzas con impacto social.",La Fundación Ford,https://www.fordfoundation.org/,"We believe in the inherent dignity of all people. But around the world, too many people are excluded from the political, economic, and social institutions that shape their lives.",Organización caritativa sin fines de lucro,"Organización caritativa privada, sin fines de lucro y no gubernamental",Subvención,
57,Cambio climático,"Organización ambiental de amplio alcance con la misión de conservar tierras y aguas, y proteger la biodiversidad. Con un enfoque y una amplia experiencia en proyectos de mitigación del uso de la tierra y adaptación basada en ecosistemas, agricultura climáticamente inteligente, restauración forestal, restauración de tierras degradadas, gestión del agua dulce y conservación marina",The Nature Conservancy,https://www.nature.org/en-us/,"Protecting nature is an investment in our future.
The scale of conservation challenges across the globe requires new and bigger sources of funding. Working with investors, lenders and companies to identify the economic value of nature, we can secure financing and investments that extend the impact of our philanthropic support for the benefit of people and nature.",Organización sin fines de lucro (ONG),"Organización ambiental global, sin ánimos de lucro",Oportunidades laborales,"Finance & Investing, careers"
58,Ambiental,"Climate, forests, food, freshwater, wildlife, and oceans",World Wild Fund,https://www.worldwildlife.org/,"Our mission is to build a future in which people live in harmony with nature. To deliver this mission, we work to conserve and restore biodiversity, the web that supports all life on Earth; to reduce humanity's environmental footprint; and to ensure the sustainable use of natural resources to support current and future generations.",Organización sin fines de lucro (ONG),"Organización internacional no gubernamental, independiente, apolítica y de conservación",Oportunidades laborales,
59,Ambiental,"Biodiversidad y recursos naturales, Árboles y bosques, Agricultura sostenible, Territorios y Clima",Oréade-Brèche,https://oreade-breche.com/,"Oréade-Brèche es una consultora especializada en desarrollo y medio ambiente. Llevamos más de 40 años trabajando en proyectos nacionales, europeos e internacionales que abordan retos multisectoriales e involucran a actores de diversos niveles (político, institucional, local, etc.) que operan en los sectores público y privado.",Privada,Privada,Oportunidades laborales,
60,Desarrollo,"Democracia, derechos humanos, seguridad y desarrollo integral. Algunas áreas específicas son el desarrollo humano, el comercio, la cultura, la energía sostenible, la gestión de riesgos, la seguridad cibernética y el control de drogas, entre otras",Organización de los Estados Americanos ,https://www.oas.org/es/,"La Organización de los Estados Americanos es el principal foro regional para el diálogo, análisis de políticas y toma de decisiones en asuntos del Hemisferio. La OEA reúne líderes de las naciones de las Américas para abordar temas y oportunidades de la región. Juntos, buscan el fomento de la  cooperación entre los Estados y el avance en una agenda regional común en materia de gobernabilidad democrática, derechos humanos, seguridad multidimensional y desarrollo sostenible.",Organización internacional,Organización internacional de tipo regional y continental,Oportunidades laborales,
61,Ambiental,Global sustainable development.,VLIRUOS,https://www.vliruos.be/,"VLIRUOS is the leading funding body for scholarships for and partnerships between academics from Flanders and partner institutions in Africa, Latin America, and Asia, focused on global sustainable development.",Organización sin fines de lucro (ONG),Organización sin fines de lucro,Academia,Scholarships
62,Rural,market access and development; agro-processing; product competitiveness; infrastructure; marketing and access to finance,The Common Fund for Commodities (CFC),https://www.common-fund.org/,The Common Fund for Commodities (CFC) is an autonomous intergovernmental financial institution established within the framework of the United Nations. The Agreement Establishing the Common Fund for Commodities was negotiated in the United Nations Conference on Trade and Development (UNCTAD) from 1976 to 1980 and became effective in 1989. The first commodity development project was approved in 1991.,Institución financiera,Institución financiera intergubernamental autónoma,Financiación,financing mechanism and commodity initiatives
63,Desarrollo,"comercio, sostenibilidad y digitalización",Hinrich Foundation ,https://www.hinrichfoundation.com/,"Hinrich Foundation is a unique Asia-based philanthropic organization that works to advance mutually beneficial and sustainable global trade. It believes sustainable global trade strengthens relationships between nations and improves people’s lives. It supports original research and education programmes that build understanding and leadership in global trade. Its approach is independent, fact-based and objective.",Organización filantrópica,Organización filantrópica,Academia,research projects 
64,Desarrollo,"Gastronomía social, Desarrollo económico, Educación, Migración y Refugio, Medioambiente y Gobernabilidad y Derechos Humanos",El Centro de Estudios Sociales de América Latina (CESAL) ,https://www.cesal.org/,"A nivel internacional impulsamos intervenciones que permiten el desarrollo humano de las personas más vulnerables en países de África, Latinoamérica y Oriente Medio. En España trabajamos apoyando a personas y familias en riesgo de exclusión social.",Organización sin fines de lucro (ONG),Organización No Gubernamental,Oportunidades laborales,
65,Ambiental,"identify and implement solutions that stop toxic exposures, protect health, and restore environments.",Pure Earth,https://www.pureearth.org/,"Pure Earth is a nonprofit environmental health organization committed to solving the global pollution crisis with practical, evidence-based solutions. We work to protect people—especially children and pregnant women—and the planet from the harmful effects of toxic pollution, with a current focus on reducing lead and mercury exposure in low- and middle-income countries.",Organización sin fines de lucro (ONG),nonprofit ,Subvención,
66,Desarrollo,"conflicto, la migración y el cambio climático",Mercy Corps,https://www.mercycorps.org.co/,"Somos una organización global (no gubernamental y sin ánimo de lucro) impulsada a creer en un mundo lleno de posibilidades.

Con más de 45 años de experiencia, seguimos trabajando para dar soluciones duraderas a las comunidades, y apoyarlas a pasar de la crisis a las oportunidades ante el conflicto, la migración y el cambio climático. ",Organización sin fines de lucro (ONG),no gubernamental y sin ánimo de lucro,Licitación,
67,Desarrollo," food security, education, shelter, legal assistance, protection from violence, and water, sanitation and hygiene",The Norwegian Refugee Council (NRC),https://www.nrc.no/,The Norwegian Refugee Council (NRC) is an independent humanitarian organisation helping people forced to flee. We protect displaced people and support them as they build a new future.,Pública,independent humanitarian organisation ,Oportunidades laborales,
68,Energía,"Diffusion of non-conventional renewable energy, energy efficiency market, Improving energy access, Sustainable tourism and scientific research ",The International Climate Fund (ICF) ,https://www.gov.uk/guidance/international-climate-finance,"The BEIS ICF Technical Assistance Programme aims to:
1. Contribute to the reduction of Colombia’s emissions and poverty reduction by improving the capacity and capability of key institutions (national, subnational, non-state).

2. Support demand-led technical assistance that prioritises implementation and helps raise climate ambition, by addressing barriers, constraints and areas of opportunity at different levels of government based on the country’s political and economic context and sectoral priorities.",Pública,Gobierno,Subvención,
69,Cambio climático,"Accelerating energy transitions, Sustainable Growth, Supporting green finance and financing green initiatives, Supporting partner countries through the transfer of skills",UK PACT,https://www.ukpact.co.uk/," Supporting transformational climate change projects worldwide

UK Partnering for Accelerated Climate Transitions (UK PACT) is a programme funded by the UK Government. UK PACT supports countries that strive to overcome barriers to clean growth and have high emissions reduction potential to accelerate their climate change mitigation efforts.",Pública,Gobierno,Subvención,
70,Cambio climático,"Climate change, Environment, Health and Humanitarian emergencies/disasters ",This National Institute for Health Research (NIHR),https://www.gov.uk/international-development-funding/health-service-delivery-and-resilience-in-the-context-of-extreme-weather-events-research-and-innovation,This National Institute for Health Research (NIHR) funding call is seeking research proposals to investigate how health services can adapt to disruption caused by extreme weather events in low and middle income countries.,Pública,Gobierno,Subvención,
71,Cambio climático,"digital technology, especially mobile, to improve resilience and adaptation to climate change",GSMA Innovation Fund for Climate Resilience and Adaptation 2.0 ,https://www.gov.uk/international-development-funding/gsma-innovation-fund-for-climate-resilience-and-adaptation-2-dot-0,"The fund will provide 15 to 18 month grants to for-profit small and growing enterprises, including start-ups, that leverage mobile and digital technology to pilot or scale solutions that help communities in LMICs to build resilience towards the impact of climate change. ",Pública,Gobierno,Subvención,
